Id,COW,SCHL,MAR,OCCP,POBP,WKHP,SEX,RAC1P,MIG,HICOV,LANP,PAOC,PINCP,PUBCOV,VPS,DEAR,MIL,MIGSP,FER,ENG,JWAP,JWDP,OC,FDEYEP
104642,2.0,21.0,3.0,4030.0,21.0,20.0,1.0,1.0,3.0,1.0,0.0,0.0,3300.0,1.0,4.0,1.0,2.0,6.0,0.0,0.0,70.0,19.0,0.0,0.0
104643,1.0,19.0,5.0,4110.0,316.0,20.0,1.0,2.0,3.0,2.0,1200.0,0.0,5300.0,2.0,0.0,2.0,4.0,6.0,0.0,3.0,105.0,65.0,0.0,1.0
104644,1.0,19.0,5.0,4010.0,6.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,28900.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,85.0,43.0,0.0,0.0
104645,5.0,15.0,1.0,4220.0,6.0,40.0,1.0,2.0,1.0,1.0,0.0,0.0,35000.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,83.0,43.0,0.0,0.0
104646,2.0,16.0,1.0,2040.0,6.0,80.0,2.0,1.0,1.0,2.0,2575.0,0.0,5900.0,2.0,0.0,2.0,4.0,0.0,2.0,1.0,98.0,59.0,0.0,0.0
104647,1.0,19.0,5.0,4130.0,6.0,12.0,2.0,9.0,3.0,1.0,0.0,0.0,1200.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,239.0,135.0,0.0,0.0
104648,5.0,16.0,5.0,7020.0,6.0,50.0,1.0,6.0,1.0,1.0,0.0,0.0,23000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,88.0,48.0,0.0,0.0
104649,3.0,19.0,5.0,5860.0,48.0,8.0,1.0,1.0,3.0,1.0,0.0,0.0,310.0,2.0,0.0,2.0,4.0,6.0,0.0,0.0,153.0,95.0,0.0,0.0
104650,1.0,18.0,5.0,4230.0,6.0,35.0,1.0,1.0,1.0,1.0,0.0,0.0,20500.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,112.0,72.0,0.0,0.0
104651,2.0,17.0,1.0,136.0,6.0,70.0,2.0,1.0,1.0,1.0,0.0,0.0,50000.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,99.0,58.0,0.0,0.0
104652,5.0,20.0,5.0,9645.0,36.0,88.0,1.0,2.0,1.0,1.0,0.0,0.0,42000.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,60.0,19.0,0.0,0.0
104653,5.0,16.0,5.0,9830.0,48.0,50.0,1.0,8.0,1.0,1.0,0.0,0.0,22600.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,86.0,46.0,0.0,0.0
104654,1.0,24.0,5.0,2205.0,6.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,21600.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,119.0,79.0,0.0,0.0
104655,1.0,18.0,5.0,2310.0,412.0,10.0,1.0,2.0,1.0,1.0,1170.0,0.0,3100.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
104656,1.0,19.0,5.0,2545.0,29.0,8.0,1.0,6.0,1.0,1.0,0.0,0.0,8000.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,113.0,73.0,0.0,0.0
104657,5.0,18.0,5.0,7140.0,55.0,46.0,1.0,1.0,3.0,1.0,0.0,0.0,26000.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0,194.0,116.0,0.0,0.0
104658,5.0,19.0,5.0,9825.0,18.0,35.0,2.0,1.0,1.0,1.0,0.0,0.0,32000.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,130.0,85.0,0.0,0.0
104659,2.0,20.0,5.0,3324.0,6.0,10.0,2.0,1.0,1.0,1.0,0.0,0.0,6500.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,129.0,84.0,0.0,0.0
104660,1.0,18.0,5.0,6050.0,26.0,21.0,2.0,1.0,3.0,1.0,0.0,0.0,8700.0,2.0,0.0,2.0,4.0,29.0,2.0,0.0,115.0,67.0,0.0,0.0
104661,5.0,21.0,5.0,700.0,24.0,88.0,1.0,1.0,1.0,1.0,0.0,0.0,39600.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,66.0,25.0,0.0,0.0
104662,2.0,6.0,5.0,7750.0,6.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,12600.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,89.0,43.0,0.0,0.0
104663,1.0,19.0,5.0,4110.0,6.0,11.0,2.0,9.0,3.0,1.0,0.0,0.0,3200.0,2.0,0.0,2.0,4.0,6.0,2.0,0.0,192.0,115.0,0.0,0.0
104664,1.0,11.0,5.0,310.0,41.0,50.0,2.0,1.0,1.0,1.0,0.0,0.0,31000.0,1.0,0.0,2.0,4.0,0.0,2.0,0.0,123.0,81.0,0.0,0.0
